Ortaggio,Artist,Icon
Pomodoro,max.icons,plant_tomato_3944072.png
Cavolo,max.icons,plant_cabbage_3944158.png
Aglio,max.icons,plant_garlic_3944096.png
Anguria,max.icons,plant_watermelon_3944164.png
Arachide,max.icons,plant_peanut_3944274.png
Asparago,max.icons,plant_asparagus_3944087.png
Barbabietola,max.icons,plant_beet_3944102.png
Bietola,max.icons,plant_chard_3944149.png
Broccolo,max.icons,plant_broccoli_3944323.png
Carciofo,max.icons,plant_artichoke_3944084.png
Carosello,max.icons,plant_melon_3944173.png
Carota,max.icons,plant_carrot_3944093.png
Cavolfiore,max.icons,plant_cauliflower_3944060.png
Cavolo cappuccio,max.icons,plant_cabbage_3944158.png
Cavolo di Bruxelles,icongeek26,plant_brussels_sprouts_4977368.png
Cavolo riccio,max.icons,plant_kale_3944155.png
Cetriolo,max.icons,plant_cucumber_3944113.png
Cipolla,max.icons,plant_onion_3944225.png
Cipollotto,herbs,plant_green-onion_4788140.png
Erba cipollina,herbs,plant_chives_4788105.png
Fagiolino,icongeek26,plant_green-beans_4977341.png
Fagiolo,max.icons,plant_beans_3944104.png
Fava,max.icons,plant_soybean_3944107.png
Finocchio,max.icons,plant_fennel_3944161.png
Fragola,max.icons,plant_strawberry_3944176.png
Lattuga,max.icons,plant_lettuce_3944125.png
Mais,max.icons,plant_corn_3944286.png
Melanzana,max.icons,plant_eggplant_3944110.png
Melone,max.icons,plant_melon_3944173.png
Okra gombo,icongeek26,plant_okra_4977475.png
Peperoncino,max.icons,plant_chili_pepper_3944137.png
Peperone,max.icons,plant_pepper_3944075.png
Pisello,icongeek26,plant_green_pea_4977534.png
Porro,max.icons,plant_leek_3944259.png
Prezzemolo,herbs,plant_parsley_4788183.png
Rapa,max.icons,plant_vegetable_3944143.png
Ravanello,max.icons,plant_turnip_3944078.png
Rucola,herbs,plant_arugula_4788082.png
Scalogno,max.icons,plant_shallot_3944099.png
Sedano,max.icons,plant_celery_3944146.png
Sedano rapa,max.icons,plant_vegetable_3944152.png
Spinacio,max.icons,plant_spinach_3944292.png
Tortarello,max.icons,plant_melon_3944173.png
Zucca,max.icons,plant_pumpkin_3944344.png
Zucchino,max.icons,plant_zucchini_3944064.png
