Tassonomia_Pianta,Tassonomia_Famiglia,Consociazioni_Favorevoli,Rotazioni_Favorevoli,Rotazioni_Sfavorevoli,Rotazioni_Anni,Mezzombra_Tollerata,Distanze_Piante,Distanze_File,Concimazione_Organica,Concimazione_Trapianto,Concimazione_Mensile,Irrigazione_Riduzione,Irrigazione_Sospensione,Irrigazione_Attecchimento
"Cece","Leguminose","Cavolo, Cetriolo, Finocchio","Cucurbitacee, Bietola","Leguminose","2","No","10","50","Scarsa","0","0","0","1","Resistente alla siccità"
"Fagiolino","Leguminose","Sedano, Cavoli, Lattuga","Broccoli, Cavoli","Cucurbitacee, Bietola","2","Estate","10","50","Scarsa","0","0","1","0","Irrigazioni scarse ma frequenti"
"Fagiolo","Leguminose","Sedano, Cavoli, Lattuga","Broccoli, Cavoli","Cucurbitacee, Bietola","2","Estate","10","50","Scarsa","0","0","1","0","Irrigazioni scarse ma frequenti"
"Fava","Leguminose","Patata, Lattuga, Cavoli","Broccoli, Cavoli","Leguminose","2","No","10","50","Scarsa","0","0","0","0","Esigenze idriche limitate, irrigare solo con siccità"
"Pisello","Leguminose","Cavolo, Cetriolo, Finocchio","Cicoria, Cavoli","Fagiolo","2","Sì","10","50","Scarsa","0","0","0","0","Esigenze idriche limitate.irrigare con siccità"
"Prezzemolo","Ombrellifere","Ravanello, Spinacio, Fragola","Lattuga","Ombrellifere, Chenopodiacee","3","Sì","5","15","Scarsa","0","0","0","0","Irrigazioni scarse ma frequenti"
"Ravanello","Crucifere","Prezzemolo, Spinacio, Lattuga","Insalate, Pomodori, Porri","Crucifere","2","Sì","5","15","Scarsa","0","0","1","0","Irrigazioni scarse ma frequenti"
"Aglio","Liliacee","Lattuga, Fragola, Carota","Composite","Patata, Bietola","4","Sì","15","30","Media","0","0","0","1","Al trapianto e poi settimanalmente solo in caso di siccità"
"Barbabietola","Chenopodiacee","Cipolla, Ravanello, Lattuga","Cipolla, Fagiolo","Spinacio, Bietole","3","Sì","10","30","Media","0","0","1","0","Frequente, senza ristagni, ridurre prima della raccolta"
"Basilico","Lamiacee","Pomodoro, Finocchio, Cetriolo","Solanacee","Labiate","2","Sì","20","30","Media","0","1","0","0","Frequente senza bagnare le foglie"
"Bietola","Chenopodiacee","Cipolla, Ravanello, Cavoli","Cipolla, Fagiolo","Spinacio, Bietole","3","Sì","25","30","Media","0","0","0","0","Frequente, senza ristagni"
"Carota","Ombrellifere","Cipolla, Porro, Lattuga","Liliacee, Patata","Ombrellifere, Bietola","3","Sì","5","25","Media","1","0","1","0","Settimanale in fase di ingrossamento, senza ristagni"
"Cicoria","Composite","Finocchio, Lattuga, Pomodoro","Porro, Pisello","Lattuga","3","Sì","30","40","Media","0","0","1","0","Attendere sempre l'asciugatura del terreno"
"Cipolla","Liliacee","Lattuga, Carota, Pisello","Cetriolo, Pomodoro","Cavolo, Bietola","3","No","15","30","Media","0","0","0","1","In caso di siccità settimanalmente in ingrossamento"
"Fragola","Rosacee","Lattuga, Cipolla, Prezzemolo","Cavolo, Ombrellifere","Rosacee","3","Sì","30","100","Media","1","0","1","0","Irrigazioni scarse ma frequenti"
"Indivia","Composite","Ravanello, Carciofo, Cipolla","Ravanello","Lattuga, Cicoria","3","Sì","30","40","Media","0","0","0","1","Attendere sempre l'asciugatura del terreno"
"Lattuga","Composite","Cipolla, Ravanello, Pomodoro","Spinacio, Porro","Radicchio, Lattuga","2","Sì","25","40","Media","0","0","0","0","Irrigazioni frequenti evitando i ristagni"
"Okra gombo","Malvacee","Lattuga, Peperone, Sedano","Legumi","Malvacee","3","No","100","100","Media","0","1","0","0","Nei periodi aridi, irrigazioni scarse ma frequenti"
"Rapa","Crucifere","Bietola, Cipolla, Lattuga","Lattuga, Cipolla, Legumi","Solanacee, Ombrellifere","2","Sì","20","40","Media","1","0","1","0","Irrigazioni frequenti con volumi non eccessivi"
"Rucola","Crucifere","Porro, Spinacio, Lattuga","","Crucifere","2","Sì","5","15","Media","0","0","1","0","Irrigazioni frequenti evitando i ristagni; irrigando saltuariamente si ottiene un sapore più intenso"
