Info_Codice,Info_IDVar,Info_Pack,Tassonomia_Famiglia,Tassonomia_Genere,Tassonomia_Specie,Tassonomia_Varieta,Classificazione_Pianta,Classificazione_Ortaggio,Classificazione_Varieta,Trapianto_Mesi,Distanze_Piante,Distanze_Piante_Range,Distanze_File,Raccolta_Min,Raccolta_Max,Raccolta_Udm,Produzione_Peso,Produzione_Range,Produzione_Udm,Booleans_Perenne,Booleans_Mezzombra,Booleans_F1,Descrizione
H508,72,6,Liliacee,Allium,sativum,,Aglio,Aglio,Bianco,111100000000,15,0,30,120,120,giorni,2000,0,g/mq,0,0,0,"Il vero aglio piacentino (IGP), dal sapore marcato ed inconfondibile. Dopo la raccolta si conserva molto più a lungo rispetto alle altre varietà. Tollera il freddo invernale in coltivazione. Irrigare settimanalmente nei periodi siccitosi. Eliminare il germoglio verde interno agli spicchi, se si vuole limitare il disagio dell’alito pesante."
H509,73,6,Liliacee,Allium,sativum,,Aglio,Aglio,Rosso,111100000000,15,0,30,120,120,giorni,2000,0,g/mq,0,0,0,"Varietà pregiata, dal sapore delicato. Per il consumo fresco si raccoglie ad aprile-maggio, mentre per il consumo invernale, tra giugno e luglio, all’ingiallimento della vegetazione. Eliminare lo scapo fiorale alla comparsa (solitamente nel mese di maggio)."
H014,295,4,Cucurbitacee,Citrullus,lanatus,,Anguria,Anguria,Lunga,001111000000,100,0,200,85,90,giorni,10000,0,g/unità,0,0,1,"Nuova varietà allungata, capace di superare i 15 kg di peso. Polpa di colore rosso carico, dall’ottimo tenore zuccherino e buona conservabilità. Matura a circa 85 giorni dal trapianto."
H013,294,4,Cucurbitacee,Citrullus,lanatus,,Anguria,Anguria,Lunga chiara,001111000000,100,0,200,85,85,giorni,10000,0,g/unità,0,0,0,"Varietà antica, molto apprezzata per la sua qualità, grazie alla polpa sempre molto dolce e la “grana fina” che si scioglie in bocca, come le angurie di una volta. Un po’ meno produttiva rispetto alle varietà moderne. Matura a circa 85 giorni dal trapianto."
H010,293,4,Cucurbitacee,Citrullus,lanatus,,Anguria,Anguria,Ovale crimson,001111000000,100,0,200,85,85,giorni,10000,0,g/unità,0,0,1,"Anguria pregiata, apprezzata per le ottime caratteristiche organolettiche e la buona produttività. Si distingue tra le altre varietà di questa tipologia, per la polpa più zuccherina e priva di fibrosità. Può superare i 10 kg di peso. Matura a circa 85 giorni dal trapianto."
H012,292,4,Cucurbitacee,Citrullus,lanatus,,Anguria,Anguria,Precoce,001111000000,100,0,200,70,70,giorni,6000,0,g/unità,0,0,1,"È un punto di riferimento per la precocità e l’altissima qualità. Produce frutti tondi di 5-7 kg, con polpa molto zuccherina, che si scioglie in bocca. Da consumare rapidamente dopo la raccolta. Gradisce concimazioni generose. Matura a circa 70 gg dal trapianto."
H011,291,4,Cucurbitacee,Citrullus,lanatus,,Anguria,Anguria,Sugar baby,001111000000,100,0,200,75,75,giorni,4000,0,g/unità,0,0,1,"Anguria precoce, che abbina la grande dolcezza della famosa Sugar baby ad una maggiore produttività, sanità e resistenza alle spaccature. Frutti tondi dalla buccia molto scura, del peso di 4-6 kg. Matura a circa 75 gg dal trapianto."
H562,781,12,Leguminose,Arachis,hypogaea,,Arachide,Arachide,,000110000000,15,0,40,120,120,giorni,250,0,g/mq,0,0,0,"Le Arachidi sono di facile coltivazione, anche in vaso. Gradiscono terreni ben drenati e temperature miti. I frutti si sviluppano nel suolo e si consumano sia tostati al forno che per il burro d’arachidi fatto in casa. La pianta arricchisce il terreno di azoto. Si può consociare con sedano, cetriolo, lattuga, rucola. Disponibile in pack da 12 piante doppie."
H042,777,6,Chenopodiacee,Beta,vulgaris,conditiva,Barbabietola,Barbabietola,Detroit,011111111110,10,0,30,40,60,giorni,300,0,g/unità,0,0,1,"Bietola da orto da radice dal sapore dolce, con colore interno rosso intenso, dalle importanti proprietà nutrizionali. La radice è ottima lessata e condita anche solo con sale, olio e aceto. Si possono consumare anche le foglie, cucinate come le bietole da coste."
H045,778,6,Chenopodiacee,Beta,vulgaris,conditiva,Barbabietola,Barbabietola,Tonda di Chioggia,001111100000,10,0,30,30,50,giorni,300,0,g/unità,0,0,1,"Bietola da orto da radice, ricca di proprietà nutritive. Ha sapore dolce, e polpa dal caratteristico colore interno striato rosso e bianco. La radice è ottima lessata. Si utilizzano anche le foglie, cucinate come le bietole da coste."
